Attribute,Description,Valid Values,Requires,Properties,Required,Parent,Requires Component,Source
sensorDataType,Level of data available in the Study/Project,"processed, raw",,,FALSE,dHealthStudy,,
processed,Data that has undergone some processing procedure. Not fully raw.,,,,FALSE,sensorDataType,,
raw,Unprocessed data from a sensor.,,,,FALSE,sensorDataType,,
studyDataDescriptionLocation,"Synapse location of the data overview description to be pulled in to the portal. Locations should be in the form of Synapse wiki paths (e.g. syn20681023/wiki/594683 or syn20681023/wiki/594685) or Synapse IDs, as appropriate.",,,,FALSE,dHealthStudy,,
studyDescription,Brief 1-2 sentence description of the study,,,,TRUE,dHealthStudy,,
studyDescriptionLocation,"Synapse location of the study description to be pulled in to the portal. Locations should be in the form of Synapse wiki paths (e.g. syn20681023/wiki/594683 or syn20681023/wiki/594685) or Synapse IDs, as appropriate. Usually this is the same as the front wiki page for the study in Synapse.",,,,TRUE,dHealthStudy,,
dataUsed,Markdown links to the list of studies used in an analytical project or challenge.,,,,FALSE,dHealthStudy,,
[Asthma Mobile Health Study](/Explore/Collections/DetailsPage?study=Asthma%20Mobile%20Health%20Study),Portal link to Asthma study,,,,FALSE,dataUsed,,
[Brighten Study](/Explore/Collections/DetailsPage?study=Brighten%20Study),Portal link to Brighten study,,,,FALSE,dataUsed,,
[elevateMS Study](/Explore/Collections/DetailsPage?study=elevateMS%20Study),Portal link to elevateMS study,,,,FALSE,dataUsed,,
[Heart Snapshot Study](/Explore/Collections/DetailsPage?study=Heart%20Snapshot%20Study),Portal link to Heart Snapshot study,,,,FALSE,dataUsed,,
[MJFF Levodopa Response Study](/Explore/Collections/DetailsPage?study=MJFF%20Levodopa%20Response%20Study),Portal link to MJFF Levodopa Response study,,,,FALSE,dataUsed,,
[Mole Mapper Study](/Explore/Collections/DetailsPage?study=Mole%20Mapper%20Study),Portal link to Mole Mapper study,,,,FALSE,dataUsed,,
[mPower Mobile Parkinson Disease Study](/Explore/Collections/DetailsPage?study=mPower%20Mobile%20Parkinson%20Disease%20Study),Portal link to mPower study,,,,FALSE,dataUsed,,
[MyHeart Counts Cardiovascular Health Study](/Explore/Collections/DetailsPage?study=MyHeart%20Counts%20Cardiovascular%20Health%20Study),Portal link to MyHeartCounts study,,,,FALSE,dataUsed,,
[Participant Retention in Digital Health Studies](/Explore/PCollections/DetailsPage?study=Participant%20Retention%20in%20Digital%20Health%20Studies),Portal link to Participant Retention project,,,,FALSE,dataUsed,,
[SleepHealth Mobile App Study](/Explore/Collections/DetailsPage?study=SleepHealth%20Mobile%20App%20Study),Portal link to SleepHealth Study,,,,FALSE,dataUsed,,
dHealthTool,,,,,FALSE,,,
inputDataType,Sensor data type which is processed by the software or tool.,"accelerometer, camera, gps, gyroscope, magnetometer, microphone, oximeter, pedometer, photodetector, photosensor, spectrocolorimeter, touchscreen",,,TRUE,dHealthTool,,
accelerometer,sensor that measures acceleration,,,,FALSE,inputDataType,,
camera,camera or other image sensor,,,,FALSE,inputDataType,,
gps,global positioning system to measure the location on the earth's surface,,,,FALSE,inputDataType,,
gyroscope,sensor that measures  orientation and angular velocity,,,,FALSE,inputDataType,,
magnetometer,sensor that measures the strength and/or direction of the magnetic field,,,,FALSE,inputDataType,,
microphone,sensor that measures sound,,,,FALSE,inputDataType,,
oximeter,an instrument for measuring the proportion of oxygenated hemoglobin in the blood,,,,FALSE,inputDataType,,
pedometer,instrument for estimating the distance traveled on foot by recording the number of steps taken,,,,FALSE,inputDataType,,
photodetector,sensors of light or other electromagnetic radiation,,,,FALSE,inputDataType,,
photosensor,,,,,FALSE,inputDataType,,
spectrocolorimeter,instrument that characterizes color,,,,FALSE,inputDataType,,
touchscreen,"touchscreen on a phone, tablet, watch or similar device",,,,FALSE,inputDataType,,
outputDataType,Product or output of software or tool.,"accelerometer features, gyroscope features, heart rate, sensor features, tapping features, tremor features, walk features",,,TRUE,dHealthTool,,
accelerometer features,,,,,FALSE,outputDataType,,
gyroscope features,,,,,FALSE,outputDataType,,
heart rate,,,,,FALSE,outputDataType,,
sensor features,,,,,FALSE,outputDataType,,
tapping features,,,,,FALSE,outputDataType,,
tremor features,,,,,FALSE,outputDataType,,
walk features,,,,,FALSE,outputDataType,,
softwareAuthor,Primary author(s) or maintainer(s),,,,TRUE,dHealthTool,,
softwareName,Name of software or package,,,,TRUE,dHealthTool,,
softwareLanguage,Programming language in which the software/package was written.,"R, Python, Matlab, Shell, Java, C",,,TRUE,dHealthTool,,
R,,,,,FALSE,softwareLanguage,,
Python,,,,,FALSE,softwareLanguage,,
Matlab,,,,,FALSE,softwareLanguage,,
Shell,,,,,FALSE,softwareLanguage,,
Java,,,,,FALSE,softwareLanguage,,
C,,,,,FALSE,softwareLanguage,,
softwareType,,"script, software package, container, web application, mobile application",,,TRUE,dHealthTool,,
script,A software script is software whose instructions can be executed using a software interpreter.,,,,FALSE,softwareType,,http://semanticscience.org/resource/SIO_000103
software package,A package of software functions and tools.,,,,FALSE,softwareType,,
container,Docker or other container containing software and environment information for running software.,,,,FALSE,softwareType,,
web application,A computer application that requires with an active internet connection and that uses HTTP as its primary communications protocol.,,,,FALSE,softwareType,,http://purl.obolibrary.org/obo/NCIT_C172305
mobile application,"An application designed specifically for use on a smartphone, tablet, smartwatch, or other mobile device.",,,,FALSE,softwareType,,
packagePlatform,Platform on which the software runs.,"Android, iOS, Windows, OSX, Linux",,,TRUE,dHealthTool,,
Android,"Touchscreen and wearable mobile devices such as smartphones, tablets and smartwatches running Android software",,,,FALSE,packagePlatform,,
iOS,"Phones, tablets and wearables manufacturered by Apple",,,,FALSE,packagePlatform,,
Windows,Device running Windows platform manufactured by Microsoft.,,,,FALSE,packagePlatform,,
OSX,Operating system for Apple computer and laptop devices.,,,,FALSE,packagePlatform,,
Linux,"Linux is a family of open source Unix-like operating systems based on the Linux kernel, an operating system kernel first released on September 17, 1991.",,,,FALSE,packagePlatform,,
softwareRepository,,"Synapse, GitHub, GitLab, BitBucket, CRAN, BioConductor, Biocontainers, DockerHub, Quay, Dockstore",,,TRUE,dHealthTool,,
GitHub,,,,,FALSE,softwareRepository,,
BitBucket,,,,,FALSE,softwareRepository,,
CRAN,,,,,FALSE,softwareRepository,,
BioConductor,,,,,FALSE,softwareRepository,,
Biocontainers,,,,,FALSE,softwareRepository,,
DockerHub,,,,,FALSE,softwareRepository,,
Quay,,,,,FALSE,softwareRepository,,
Dockstore,,,,,FALSE,softwareRepository,,
suggestedStudies,List of studies for which this is a suggested tool,,,,FALSE,dHealthTool,,
summary,Brief 1-2 sentence description of the tool or software.,,,,TRUE,dHealthTool,,
url,URL where the software/tool is stored.,,,,TRUE,dHealthTool,,
digitalAssessmentCategory,Disease or phenotype category for sensor-based assessments.,"action tremor, cardiorespiratory fitness, cardiovascular, cognition, dermatologic phenotype, gait, mental health, mobility, mood, motor coordination, participant engagement, phonation, physical activity, postural tremor, quality of life, respiratory, resting tremor, skin color, sleep",,,TRUE,dHealthTool,,
action tremor,"A tremor present when the limbs are active, either when outstretched in a certain position or throughout a voluntary movement.",,,,FALSE,digitalAssessmentCategory,,http://purl.obolibrary.org/obo/HP_0002345
cardiorespiratory fitness,The ability of the heart and lungs to deliver blood and oxygen to the tissues during aerobic activity. It is a general measure of the relative conditioning of the heart and respiratory system.,,,,FALSE,digitalAssessmentCategory,,http://purl.obolibrary.org/obo/NCIT_C88164
cardiovascular,Relating to the heart and blood vescles.,,,,FALSE,digitalAssessmentCategory,,http://purl.obolibrary.org/obo/NCIT_C25292
cognition,"The mental processes involved in gaining knowledge and comprehension. Cognitive processes include thinking, knowing, remembering, judging, and problem-solving. These are higher-level functions of the brain and encompass language, imagination, perception, and planning.",,,,FALSE,digitalAssessmentCategory,,
dermatologic phenotype,"Traits involving the skin, hair and/or nails.",,,,FALSE,digitalAssessmentCategory,,
gait,"A pattern or manner of running, walking, or moving on foot.",,,,FALSE,digitalAssessmentCategory,,http://purl.obolibrary.org/obo/NCIT_C75445
mental health,"Emotional, psychological, and social well-being of an individual or group.",,,,FALSE,digitalAssessmentCategory,,
mobility,The ability to move or be moved freely and easily.,,,,FALSE,digitalAssessmentCategory,,
mood,A relatively temporary state of feeling.,,,,FALSE,digitalAssessmentCategory,,http://purl.obolibrary.org/obo/NCIT_C72883
motor coordination,The combination of body movements created with the kinematic (such as spatial direction) and kinetic (force) parameters that result in intended actions.,,,,FALSE,digitalAssessmentCategory,,
participant engagement,Degree of commitment and participation of a study subject.,,,,FALSE,digitalAssessmentCategory,,
phonation,The process of producing vocal sounds by vibration of the vocal cords during an expiration of air.,,,,FALSE,digitalAssessmentCategory,,http://purl.obolibrary.org/obo/NCIT_C92447
physical activity,A measurement of a subject's physical activity or movement.,,,,FALSE,digitalAssessmentCategory,,http://purl.obolibrary.org/obo/NCIT_C120914
postural tremor,A type of tremors that is triggered by holding a limb in a fixed position.,,,,FALSE,digitalAssessmentCategory,,http://purl.obolibrary.org/obo/HP_0002174
quality of life,"The standard of health, comfort, well-being, and happiness experienced by an individual or group.",,,,FALSE,digitalAssessmentCategory,,
respiratory,Relating to the respiratory system.,,,,FALSE,digitalAssessmentCategory,,
resting tremor,A resting tremor occurs when muscles are at rest and becomes less noticeable or disappears when the affected muscles are moved. Resting tremors are often slow and coarse.,,,,FALSE,digitalAssessmentCategory,,http://purl.obolibrary.org/obo/HP_0002322
skin color,Color or darkness/lightness of skin.,,,,FALSE,digitalAssessmentCategory,,
sleep,Related to the natural and periodic state of rest during which consciousness of the world is suspended.,,,,FALSE,digitalAssessmentCategory,,http://purl.obolibrary.org/obo/NCIT_C73425
featured,Is this tool featured on the portal,"TRUE, FALSE",,,FALSE,dHealthTool,,
